"species"	"year"	"peak"	"CIpeak2"	"CIpeak97"	"peakday"	"CIpeakday2"	"CIpeakday97"
"1"	"Acacia tenuifolia"	2001	245.815695246534	215.199919631662	277.980410506816	310.141194104359	302.485753900251	317.759730175817
"2"	"Acacia tenuifolia"	2002	698.43477945776	649.353877131619	749.934276345198	285.970062982691	281.158394326212	290.570736604037
"3"	"Acacia tenuifolia"	2003	89.2322010988946	71.6499392488533	108.160808015999	300.149356763937	287.154356329094	313.004178834907
"4"	"Acacia tenuifolia"	2004	52.1310198825261	37.6271571378102	69.7896806688272	219.571520533223	199.314261782132	239.821624930865
"5"	"Acacia tenuifolia"	2005	41.8051718571367	30.2261139975351	55.0132106893276	404.765499551203	386.383531296348	423.264444557889
"6"	"Acacia tenuifolia"	2006	80.1607874545706	52.1335053700272	120.472688342218	212.228852150579	182.84083367277	239.001635157825
"7"	"Acacia tenuifolia"	2007	0.0866753718075102	4.60283002831001e-07	0.709717243751609	314.368300741962	150.121948091383	469.624699976156
"8"	"Acacia tenuifolia"	2008	17.0560756240682	10.1440017454272	26.2344601530255	446.349721177994	414.966970311479	478.887788641007
"9"	"Acacia tenuifolia"	2009	24.6447268422537	14.8929423130733	37.8135028067734	395.976446422511	366.093111749708	430.371476528563
"10"	"Arrabidaea chica"	2001	53.4493049510234	39.4071164288157	68.7942116922713	154.705637554876	148.503716066846	161.096123274639
"11"	"Arrabidaea chica"	2002	23.1188683340066	15.0240024565899	32.3964239718758	135.067681636752	125.116247099762	144.471227098788
"12"	"Arrabidaea chica"	2003	327.369609999027	293.479132098396	364.834748955911	100.394613342872	97.994855292191	102.928217879372
"13"	"Arrabidaea chica"	2004	14.1809977592524	7.86302857546947	22.4749801384857	152.985561241650	141.047935703367	165.381609414102
"14"	"Arrabidaea chica"	2005	579.303910592425	533.145886137741	625.791887886191	108.876483424422	107.057896776041	110.836853900908
"15"	"Arrabidaea chica"	2006	73.2252686361089	58.2234834169851	90.410468467893	176.055432580701	168.214760286273	183.809222800286
"16"	"Arrabidaea chica"	2007	203.362052846767	175.301816964378	232.748729715609	97.8595242622656	94.508744810109	101.002766412477
"17"	"Arrabidaea chica"	2008	83.8063264521318	66.7934367266244	102.942757728132	125.565257455822	117.756101246770	133.374641944262
"18"	"Arrabidaea chica"	2009	29.2711872493013	19.526122805465	41.2797678315375	75.5969495590385	67.3200822170067	83.831852742183
"19"	"Bauhinia guianensis"	2001	42.0775446023042	30.8987133846073	55.9703456311339	67.340923170928	59.26981923445	75.2221407368045
"20"	"Bauhinia guianensis"	2002	12.0117253560606	6.1378114580103	19.529149306213	153.883902051860	139.024527186266	169.511621048721
"21"	"Bauhinia guianensis"	2003	29.1851967453083	20.1948922899601	40.1461782930603	167.497732423193	157.382422794481	177.477796489048
"22"	"Bauhinia guianensis"	2004	1.13224992848040	0.0372933378973721	4.00874351475040	121.015369609923	74.226815802115	166.823292121322
"23"	"Bauhinia guianensis"	2005	7.18072497032062	2.76442922890778	13.2241046098569	123.995350481057	104.672476906325	143.831577117805
"24"	"Bauhinia guianensis"	2006	0.180393523832019	2.44049614372161e-05	1.4750790712951	133.671526993681	2.41250298301386	254.865794346729
"25"	"Bauhinia guianensis"	2007	0.153949607315584	1.07919938179479e-06	1.25497053376702	131.047846368261	9.11880788215873	252.815578570230
"26"	"Bauhinia guianensis"	2008	66.1836330751205	50.4139885738306	83.6632773179259	181.104860054444	173.96807558798	187.748961746424
"27"	"Bauhinia guianensis"	2009	0.208634769858572	7.68382441999672e-05	1.54765144703805	131.860549559412	0.980492032738738	256.515267656699
"28"	"Bombacaceae sp1"	2001	3.3208209174201	0.701175767846601	7.80734308782848	76.5839986016191	48.698733401205	105.223202390203
"29"	"Bombacaceae sp1"	2002	18.1313228681570	10.4684041423858	27.6738274950353	81.0547649207465	67.6920021464397	94.8181024520575
"30"	"Bombacaceae sp1"	2003	30.0384876003349	20.518986343967	41.4264677180622	75.2700459528409	64.4706893643532	86.5263412405313
"31"	"Bombacaceae sp1"	2004	8.14749676269781	3.64108295871891	14.5965722124085	53.4465177258668	34.2061614842507	73.0251257723628
"32"	"Bombacaceae sp1"	2005	2.30202704335340	0.296195952353515	6.34303835873158	111.905732892729	72.3862969670882	152.559758148087
"33"	"Bombacaceae sp1"	2006	70.154354921947	55.2255597073728	86.9588059775544	50.3203265570259	43.8288522818404	57.4680443592191
"34"	"Bombacaceae sp1"	2007	6.27479859112884	2.3368334851308	12.1594830290176	94.5832349954578	72.3269875081097	117.715647713718
"35"	"Bombacaceae sp1"	2008	3.28628781807225	0.653015347858823	8.0373365630918	22.3723549908033	-19.5827484523232	62.4668836394678
"36"	"Bombacaceae sp1"	2009	1.30108251746245	0.0494099850390519	4.52632601672383	76.9985080159666	34.1668193937991	123.163408277394
"37"	"Coccoloba parimensis"	2001	2.30519254259011	0.271075280754197	6.54644463710772	316.230476068900	224.48086061152	404.87634090417
"38"	"Coccoloba parimensis"	2002	7.40678680608761	2.97950127063393	13.7758120389465	343.484123667081	285.262110958680	406.56359888146
"39"	"Coccoloba parimensis"	2003	5.65772953448425	1.88402912598248	11.9262298037637	296.958355083906	215.615322348300	362.583487742678
"40"	"Coccoloba parimensis"	2004	45.0696352072288	31.7560500160797	59.9218155284253	302.751710887330	266.172217453475	333.304894601985
"41"	"Coccoloba parimensis"	2005	0.274882074694385	0.000435001400611189	1.71146405748027	317.323187449884	212.259147229839	426.624367889941
"42"	"Coccoloba parimensis"	2006	40.6788300423787	28.7757961305096	55.0235901417476	378.019659493529	340.102793884959	411.4074675227
