"month"	"Year2"	"fruits"	"flowers"	"nbcens"	"fruitsb"	"flowersb"
2	2009	5.111075	3.24625	2	2.5555375	1.623125
3	2009	8.420125	4.437375	2	4.2100625	2.2186875
4	2009	14.527975	1.911975	3	4.84265833333333	0.637325
5	2009	8.65035	1.4376	2	4.325175	0.7188
6	2009	8.812091667	1.591008333	2	4.4060458335	0.7955041665
7	2009	8.973833334	1.744416666	2	4.486916667	0.872208333
8	2009	5.119625	2.621875	2	2.5598125	1.3109375
9	2009	3.6091875	3.57225	3	1.2030625	1.19075
10	2009	2.2295625	2.019625	2	1.11478125	1.0098125
11	2009	2.641	1.768625	2	1.3205	0.8843125
12	2009	2.5574375	0.8438125	2	1.27871875	0.42190625
1	2010	2.5574375	0.8438125	2	1.27871875	0.42190625
2	2010	3.3205	1.3325	2	1.66025	0.66625
3	2010	6.851	0.889	3	2.28366666666667	0.296333333333333
4	2010	6.96215625	0.5270625	2	3.481078125	0.26353125
5	2010	7.0760625	0.489375	2	3.53803125	0.2446875
6	2010	5.21840625	0.5218125	2	2.609203125	0.26090625
7	2010	1.578625	0.666125	2	0.7893125	0.3330625
8	2010	1.7395	1.19275	2	0.86975	0.596375
9	2010	1.46821875	1.24575	3	0.48940625	0.41525
10	2010	0.48940625	0.41525	1	0.48940625	0.41525
11	2010	2.811625	3.434125	2	1.4058125	1.7170625
12	2010	2.2381	0.764	2	1.11905	0.382
1	2011	2.2381	0.764	2	1.11905	0.382
2	2011	3.143925	1.4625	2	1.5719625	0.73125
3	2011	5.637125001	0.872750001	3	1.879041667	0.290916667
4	2011	6.3145	0.536875	2	3.15725	0.2684375
5	2011	2.4515	0.443	2	1.22575	0.2215
6	2011	1.5973125	0.45775	2	0.79865625	0.228875
7	2011	0.743125	0.4725	2	0.3715625	0.23625
8	2011	1.3163125	1.029666666	3	0.438770833333333	0.343222222
9	2011	1.047	0.795864583	2	0.5235	0.3979322915
10	2011	1.14925	0.7983125	2	0.574625	0.39915625
11	2011	2.057875	0.87590625	2	1.0289375	0.437953125
12	2011	5.9583125	0.3575625	2	2.97915625	0.17878125
1	2012	5.9583125	0.3575625	2	2.97915625	0.17878125
