sp	cycle	years	peakdays	CIpeakday	peak	CIpeak
Qualea rosea	6	2006 - 2007	118.14 (apr28)	352.88-192.71 (dec18-jul11)	12.25	0 - 82.3
Qualea rosea	7	2007 - 2008	118.75 (apr28)	355.04-191.3 (dec21-jul10)	12.61	0 - 84.23
Qualea rosea	8	2008 - 2009	128.39 (may8)	120.02-136.37 (apr30-may16)	77.57	51.53 - 147.32
Qualea rosea	9	2009 - 2010	118.88 (apr28)	354.36-194.46 (dec20-jul13)	12.43	0 - 77.95
Quararibea duckei	1	2001 - 2002	56.22 (feb25)	29.87-84.79 (jan29-mar25)	10.63	5.01 - 18.06
Quararibea duckei	2	2002 - 2003	36.99 (feb5)	17.23-56.45 (jan17-feb25)	23.46	15.08 - 33.56
Quararibea duckei	3	2003 - 2004	58.87 (feb27)	40.72-77.86 (feb9-mar18)	28.61	18.48 - 39.77
Quararibea duckei	4	2004 - 2005	34.87 (feb3)	8.9-59.72 (jan8-feb28)	12.66	6.38 - 20.72
Quararibea duckei	5	2005 - 2006	30.55 (jan30)	10.76-49.6 (jan10-feb18)	24.66	16.13 - 35.44
Quararibea duckei	6	2006 - 2007	35.89 (feb4)	17.83-53.05 (jan17-feb22)	32.38	22.41 - 44.74
Quararibea duckei	7	2007 - 2008	50.52 (feb19)	28.06-75.27 (jan28-mar16)	15.63	8.74 - 24.17
Quararibea duckei	8	2008 - 2009	1.5 (jan1)	341.26-28.96 (dec7-jan28)	19.46	11.26 - 28.7
Quararibea duckei	9	2009 - 2010	41.02 (feb10)	15.43-67.16 (jan15-mar8)	12.69	6.57 - 21.13
Rhodostemonodaphne kunthiana	1	2001 - 2002	312.31 (nov8)	257.94-5.74 (sep14-jan5)	10.28	5.09 - 18.3
Rhodostemonodaphne kunthiana	2	2002 - 2003	317.17 (nov13)	146.61-97.45 (may26-apr7 +1)	0.16	0 - 1.18
Rhodostemonodaphne kunthiana	3	2003 - 2004	320.7 (nov16)	149.94-93.57 (may29-apr3 +1)	0.2	0 - 1.35
Rhodostemonodaphne kunthiana	4	2004 - 2005	318.96 (nov14)	150.36-95.72 (may30-apr5 +1)	0.19	0 - 1.45
Rhodostemonodaphne kunthiana	5	2005 - 2006	318.56 (nov14)	138.56-96.88 (may18-apr6 +1)	0.13	0 - 0.88
Rhodostemonodaphne kunthiana	6	2006 - 2007	317.83 (nov13)	141.35-98.15 (may21-apr8 +1)	0.07	0 - 0.69
Rhodostemonodaphne kunthiana	7	2007 - 2008	284.72 (oct11)	154.66-44.19 (jun3-feb13 +1)	1.13	0.03 - 4.46
Rhodostemonodaphne kunthiana	8	2008 - 2009	320.7 (nov16)	147.08-98.2 (may27-apr8 +1)	0.16	0 - 1.28
Rhodostemonodaphne kunthiana	9	2009 - 2010	80.2 (mar21)	11.52-111.89 (jan11-apr21)	10.95	3.63 - 23.41
Rourea frutescens	1	2001 - 2002	111.87 (apr21)	91.33-132.82 (apr1-may12)	16.41	9.25 - 25.19
Rourea frutescens	2	2002 - 2003	75.41 (mar16)	47.73-103.4 (feb16-apr13)	6.44	2.4 - 12.26
Rourea frutescens	3	2003 - 2004	65 (mar6)	50.2-78.88 (feb19-mar19)	32.4	22.28 - 44.31
Rourea frutescens	4	2004 - 2005	66.1 (mar7)	46.94-84.5 (feb15-mar25)	17.38	10.06 - 26.51
Rourea frutescens	5	2005 - 2006	76.76 (mar17)	61.34-91.79 (mar2-apr1)	27.59	18.25 - 39.15
Rourea frutescens	6	2006 - 2007	78.34 (mar19)	66.28-90.43 (mar7-mar31)	44.31	32.3 - 58.92
Rourea frutescens	7	2007 - 2008	73.21 (mar14)	54.47-93.65 (feb23-apr3)	16.31	9.16 - 25.13
Rourea frutescens	8	2008 - 2009	75.88 (mar16)	64.57-87.03 (mar5-mar28)	56.23	42.86 - 71.65
Rourea frutescens	9	2009 - 2010	37.94 (feb6)	17.56-57.83 (jan17-feb26)	19.37	11.57 - 29.37
Serjania paucidentata	1	2001 - 2002	79.11 (mar20)	53.84-105.48 (feb22-apr15)	15.21	8.44 - 23.53
Serjania paucidentata	2	2002 - 2003	364.7 (dec30)	345.42-18.71 (dec11-jan18)	25.18	16.34 - 36.24
Serjania paucidentata	3	2003 - 2004	45 (feb13)	33.56-55.92 (feb2-feb24)	81.67	64.25 - 100.42
Serjania paucidentata	4	2004 - 2005	329.99 (nov25)	295.27-0.18 (oct22-jan1)	8.08	3.53 - 14.62
Serjania paucidentata	5	2005 - 2006	2.71 (jan2)	319.26-47.33 (nov15-feb16)	4.01	1.04 - 8.75
Serjania paucidentata	6	2006 - 2007	55.3 (feb24)	18.77-92.03 (jan18-apr2)	7.09	2.77 - 13.16
Serjania paucidentata	7	2007 - 2008	348.27 (dec14)	265.61-54.11 (sep22-feb23)	1.19	0.04 - 4.17
Serjania paucidentata	8	2008 - 2009	363.6 (dec29)	333.41-28.4 (nov29-jan28)	10.12	5 - 17.09
Serjania paucidentata	9	2009 - 2010	13.09 (jan13)	347.49-47.66 (dec13-feb16)	11.56	5.88 - 19.29
Sterculia pruriens	1	2001 - 2002	102.09 (apr12)	358.75-210.79 (dec24-jul29)	0.2	0 - 1.46
Sterculia pruriens	2	2002 - 2003	113.51 (apr23)	103.32-124.47 (apr13-may4)	56.13	41.98 - 72.64
Sterculia pruriens	3	2003 - 2004	102.07 (apr12)	363.05-213.61 (dec29-aug1)	0.14	0 - 1.1
Sterculia pruriens	4	2004 - 2005	70.01 (mar11)	24.59-112.04 (jan24-apr22)	3.2	0.62 - 7.62
Sterculia pruriens	5	2005 - 2006	65.28 (mar6)	31.95-96.31 (jan31-apr6)	6.13	2.33 - 11.91
Sterculia pruriens	6	2006 - 2007	127.85 (may7)	108.67-147.02 (apr18-may27)	18.37	11.05 - 28.13
Sterculia pruriens	7	2008 - 2008	100.84 (apr10)	360.91-206.83 (dec26-jul25)	0.24	0 - 1.57
Sterculia pruriens	8	2008 - 2009	144.37 (may24)	134.26-154.46 (may14-jun3)	75.21	59.18 - 94.02
Sterculia pruriens	9	2009 - 2010	79.22 (mar20)	63.57-94.22 (mar4-apr4)	25.21	16 - 36.18
Stigmaphyllon sinuatum	1	2001 - 2002	349.4 (dec15)	334.14-364.33 (nov30-dec30)	27.78	18.48 - 39.17
Stigmaphyllon sinuatum	2	2002 - 2003	335.46 (dec1)	324.89-346.88 (nov20-dec12)	43.8	31.53 - 58.22
Stigmaphyllon sinuatum	3	2003 - 2004	315.98 (nov11)	303.81-328.84 (oct30-nov24)	33.32	23.8 - 45.29
Stigmaphyllon sinuatum	4	2004 - 2005	346.56 (dec12)	333.77-359.24 (nov29-dec25)	38.51	27.54 - 51.36
Stigmaphyllon sinuatum	5	2005 - 2006	319.91 (nov15)	306.59-332.94 (nov2-nov28)	32.99	22.23 - 45.19
Stigmaphyllon sinuatum	6	2006 - 2007	314.83 (nov10)	289.7-337.14 (oct16-dec3)	7.66	3.28 - 14.19
Stigmaphyllon sinuatum	7	2007 - 2008	319.07 (nov15)	300.01-337.8 (oct27-dec3)	15.72	8.87 - 24.88
Stigmaphyllon sinuatum	8	2008 - 2009	309.46 (nov5)	291.55-327.29 (oct18-nov23)	17.92	10.28 - 27.49
Stigmaphyllon sinuatum	9	2009 - 2010	335.11 (dec1)	306.69-364.71 (nov2-dec30)	4.81	1.37 - 10.17
Strychnos erichsonii	1	2002 - 2002	199.29 (jul18)	182.8-215.96 (jul1-aug3)	46.03	33.62 - 59.88
Strychnos erichsonii	2	2003 - 2003	180.31 (jun29)	171.09-189.24 (jun20-jul8)	161.75	137.2 - 186.71
Strychnos erichsonii	3	2004 - 2004	251.59 (sep8)	215.94-288.38 (aug3-oct15)	11.02	5.38 - 18.64
Strychnos erichsonii	4	2005 - 2005	168.04 (jun17)	132.41-200.8 (may12-jul19)	12.23	6.4 - 19.61
Strychnos erichsonii	5	2006 - 2006	249.94 (sep6)	200.96-300.38 (jul19-oct27)	4.95	1.57 - 10
Strychnos erichsonii	6	2007 - 2007	151.14 (may31)	125.38-174.31 (may5-jun23)	28.86	19.23 - 40.63
Strychnos erichsonii	7	2008 - 2008	203.13 (jul22)	176.99-227.89 (jun25-aug15)	21.94	13.67 - 31.97
Strychnos erichsonii	8	2009 - 2009	168.73 (jun17)	142.14-195.17 (may22-jul14)	22.33	14.01 - 32.69
Strychnos erichsonii	9	2010 - 2010	53.8 (feb22)	12.49-93.22 (jan12-apr3)	23.21	11.76 - 40.57
Tachigali melinonii	1	2001 - 2002	194.38 (jul13)	52.63-345.82 (feb21-dec11)	0.16	0 - 1.18
Tachigali melinonii	2	2002 - 2003	172.83 (jun21)	58.85-277.37 (feb27-oct4)	1.16	0.04 - 4.18
Tachigali melinonii	3	2003 - 2004	195.35 (jul14)	56.15-336.68 (feb25-dec2)	0.09	0 - 0.8
Tachigali melinonii	4	2004 - 2004	198.12 (jul17)	54.63-342.37 (feb23-dec8)	0.2	0 - 1.34
Tachigali melinonii	5	2005 - 2005	200.75 (jul19)	57.67-341.29 (feb26-dec7)	0.12	0 - 0.95
Tachigali melinonii	6	2006 - 2006	196.56 (jul15)	57.4-347.45 (feb26-dec13)	0.14	0 - 1.07
Tachigali melinonii	7	2007 - 2007	207 (jul26)	184.07-229.5 (jul3-aug17)	47.48	34.21 - 62.31
Tachigali melinonii	8	2008 - 2008	266.6 (sep23)	234.84-297.1 (aug22-oct24)	25.24	16.21 - 36.21
Tachigali melinonii	9	2009 - 2010	162.42 (jun11)	134.9-187.63 (may14-jul6)	39.84	28.48 - 53.71
Tachigali melinonii	10	2010 - 2010	163.71 (jun12)	148.77-176.62 (may28-jun25)	151.29	126.62 - 178.34
Terminalia guyanensis	1	2001 - 2002	11.66 (jan11)	299.29-76.96 (oct26-mar17)	5.35	1.78 - 11.05
Terminalia guyanensis	2	2002 - 2003	104.5 (apr14)	71.59-135.16 (mar12-may15)	29.12	19.13 - 40.28
Terminalia guyanensis	3	2003 - 2004	53.55 (feb22)	322.78-149.65 (nov18-may29)	2.23	0.29 - 6
Terminalia guyanensis	4	2004 - 2005	81.93 (mar22)	17-145.51 (jan17-may25)	6.14	2.3 - 12.02
Terminalia guyanensis	5	2005 - 2006	71.95 (mar12)	34.14-106.07 (feb3-apr16)	22.45	14.06 - 32.81
Terminalia guyanensis	6	2006 - 2007	329.02 (nov25)	268.23-19.7 (sep25-jan19)	14.96	7.61 - 25.16
Terminalia guyanensis	7	2007 - 2008	33.27 (feb2)	7.37-56.9 (jan7-feb25)	60.32	45.82 - 76.15
Terminalia guyanensis	8	2008 - 2009	144.41 (may24)	43.76-208.35 (feb12-jul27)	2.14	0.25 - 5.79
Terminalia guyanensis	9	2009 - 2010	1.6 (jan1)	313.28-52 (nov9-feb21)	14.13	7.33 - 23.07
Tetragastris altissima	1	2001 - 2002	87.38 (mar28)	80.66-94.12 (mar21-apr4)	30.11	19.91 - 42.69
Tetragastris altissima	2	2002 - 2003	95.89 (apr5)	48.76-144.43 (feb17-may24)	1.21	0.02 - 4.76
Tetragastris altissima	3	2003 - 2004	92.58 (apr2)	69.85-112.78 (mar10-apr22)	3.05	0.49 - 7.6
Tetragastris altissima	4	2004 - 2005	107.08 (apr17)	81.35-136.26 (mar22-may16)	2.07	0.12 - 6.45
Tetragastris altissima	5	2005 - 2006	99.09 (apr9)	90.95-106.88 (mar31-apr16)	19.16	11.23 - 28.56
Tetragastris altissima	6	2006 - 2007	96.92 (apr6)	46.58-145.91 (feb15-may25)	1.27	0.02 - 5.21
Tetragastris altissima	7	2007 - 2008	77.7 (mar18)	57.93-97.21 (feb26-apr7)	4.08	0.91 - 8.98
Tetragastris altissima	8	2008 - 2009	119.58 (apr29)	109.76-129.84 (apr19-may9)	41.75	30.3 - 55.14
Tetragastris altissima	9	2009 - 2010	91.1 (apr1)	87.5-94.58 (mar28-apr4)	104.92	84.65 - 127.02
Tetragastris panamensis	1	2001 - 2002	313.12 (nov9)	201.6-25.28 (jul20-jan25)	1.01	0.03 - 3.85
Tetragastris panamensis	2	2002 - 2003	49.34 (feb18)	30.92-80.52 (jan30-mar21)	45.67	25.62 - 71.61
Tetragastris panamensis	3	2003 - 2004	98.45 (apr8)	34.33-187 (feb3-jul6)	2.76	0.3 - 8.26
Tetragastris panamensis	4	2004 - 2005	214.87 (aug2)	177.65-252.46 (jun26-sep9)	13.21	6.99 - 21.75
Tetragastris panamensis	5	2005 - 2006	111.06 (apr21)	82.39-136.91 (mar23-may16)	49.66	34.72 - 68.68
Tetragastris panamensis	6	2006 - 2006	85.1 (mar26)	34.75-150.78 (feb3-may30)	8.59	2.81 - 17.58
Tetragastris panamensis	7	2007 - 2008	213.07 (aug1)	149.47-274.27 (may29-oct1)	5.13	1.69 - 10.46
Tetragastris panamensis	8	2008 - 2008	165.84 (jun14)	39.54-347.72 (feb8-dec13)	0.11	0 - 0.89
Tetragastris panamensis	9	2009 - 2010	35.93 (feb4)	30.22-48.16 (jan30-feb17)	196.94	156.44 - 243.13
Tetragastris panamensis	10	2010 - 2010	87.89 (mar28)	32.59-176.05 (feb1-jun25)	2.78	0.39 - 8.06
Trattinnickia sp1	1	2001 - 2002	121.81 (may1)	94.4-146.78 (apr4-may26)	12.85	4.17 - 52.75
Trattinnickia sp1	2	2002 - 2003	125.28 (may5)	93.46-160.32 (apr3-jun9)	7.38	0.95 - 47.28
Trattinnickia sp1	3	2003 - 2004	121.85 (may1)	101.69-138.86 (apr11-may18)	31.24	17.4 - 83.01
Trattinnickia sp1	4	2004 - 2005	120.38 (apr30)	90.21-150.88 (mar31-may30)	9.69	2.18 - 42
Trattinnickia sp1	5	2005 - 2006	115.05 (apr25)	69.99-150.8 (mar10-may30)	5.61	0.15 - 43.89
Trattinnickia sp1	6	2006 - 2007	124.21 (may4)	87.19-168.64 (mar28-jun17)	5.33	0.12 - 37.73
Trattinnickia sp1	7	2008 - 2008	110.84 (apr20)	61.26-139.97 (mar2-may19)	8.08	1.06 - 46
Trattinnickia sp1	8	2008 - 2009	111.83 (apr21)	70.94-141.94 (mar11-may21)	7.52	0.84 - 41.92
Trattinnickia sp1	9	2009 - 2010	121.13 (may1)	93.86-147.55 (apr3-may27)	26.39	4.73 - 139.04
Unonopsis stipitata	1	2001 - 2002	70.99 (mar11)	29.39-105.99 (jan29-apr15)	23.26	14.66 - 34.76
Unonopsis stipitata	2	2002 - 2003	109.76 (apr19)	65.19-151.87 (mar6-may31)	11.57	5.84 - 19.62
Unonopsis stipitata	3	2003 - 2004	170.4 (jun19)	97.56-243.56 (apr7-aug31)	3.15	0.63 - 7.66
Unonopsis stipitata	4	2005 - 2005	142.88 (may22)	41.5-235.8 (feb10-aug23)	1.23	0.04 - 4.37
Unonopsis stipitata	5	2006 - 2006	175.23 (jun24)	106.09-246.09 (apr16-sep3)	4.24	1.12 - 9.38
Unonopsis stipitata	6	2007 - 2007	153.7 (jun2)	46.6-261.11 (feb15-sep18)	1.19	0.04 - 4.34
Unonopsis stipitata	7	2008 - 2008	203.94 (jul22)	115.02-294.79 (apr25-oct21)	2.1	0.28 - 5.6
Unonopsis stipitata	8	2009 - 2009	155.65 (jun4)	107.91-195.82 (apr17-jul14)	13.81	7.09 - 22
Unonopsis stipitata	9	2010 - 2010	170.66 (jun19)	103.25-239.35 (apr13-aug27)	4.37	1.12 - 9.52
Virola michelii	1	2001 - 2002	33.88 (feb2)	18.43-45.88 (jan18-feb14)	25.31	10.27 - 67.28
Virola michelii	2	2002 - 2003	35.7 (feb4)	22.33-47.56 (jan22-feb16)	30.85	14.21 - 73.62
Virola michelii	3	2003 - 2004	36.38 (feb5)	17.73-53.49 (jan17-feb22)	14.81	2.08 - 61.55
Virola michelii	4	2004 - 2005	43.14 (feb12)	29.81-58.85 (jan29-feb27)	27.06	10.37 - 79.84
Virola michelii	5	2005 - 2006	41.27 (feb10)	23.81-63.05 (jan23-mar4)	13.58	1.52 - 59.54
Virola michelii	6	2006 - 2007	35.41 (feb4)	23.13-46.41 (jan23-feb15)	36.09	18.11 - 81.59
Virola michelii	7	2007 - 2008	40.86 (feb9)	27.83-56.66 (jan27-feb25)	24.95	9.24 - 71.25
Virola michelii	8	2008 - 2009	40.27 (feb9)	25.04-58.42 (jan25-feb27)	17.78	3.97 - 62.07
Virola michelii	9	2009 - 2010	32.66 (feb1)	17.11-45.82 (jan17-feb14)	24.55	8.97 - 68.95
