"sp"	"cycle"	"year1"	"year2"	"peakdays"	"CI2peakday"	"CI97peakday"	"peak"	"CI2peak"	"CI97peak"
"Acacia tenuifolia"	1	2001	2002	310.141194104359	302.485753900251	317.759730175817	245.815695246534	215.199919631662	277.980410506816
"Acacia tenuifolia"	2	2002	2003	285.970062982691	281.158394326212	290.570736604037	698.43477945776	649.353877131619	749.934276345198
"Acacia tenuifolia"	3	2003	2004	300.149356763937	287.154356329094	313.004178834907	89.2322010988946	71.6499392488533	108.160808015999
"Acacia tenuifolia"	4	2004	2005	219.571520533223	199.314261782132	239.821624930865	52.1310198825261	37.6271571378102	69.7896806688272
"Acacia tenuifolia"	5	2005	2006	404.765499551203	386.383531296348	423.264444557889	41.8051718571367	30.2261139975351	55.0132106893276
"Acacia tenuifolia"	6	2006	2007	212.228852150579	182.84083367277	239.001635157825	80.1607874545706	52.1335053700272	120.472688342218
"Acacia tenuifolia"	7	2007	2008	314.368300741962	150.121948091383	469.624699976156	0.0866753718075102	4.60283002831001e-07	0.709717243751609
"Acacia tenuifolia"	8	2008	2009	446.349721177994	414.966970311479	478.887788641007	17.0560756240682	10.1440017454272	26.2344601530255
"Acacia tenuifolia"	9	2009	2010	395.976446422511	366.093111749708	430.371476528563	24.6447268422537	14.8929423130733	37.8135028067734
"Arrabidaea chica"	1	2001	2002	154.705637554876	148.503716066846	161.096123274639	53.4493049510234	39.4071164288157	68.7942116922713
"Arrabidaea chica"	2	2002	2003	135.067681636752	125.116247099762	144.471227098788	23.1188683340066	15.0240024565899	32.3964239718758
"Arrabidaea chica"	3	2003	2004	100.394613342872	97.994855292191	102.928217879372	327.369609999027	293.479132098396	364.834748955911
"Arrabidaea chica"	4	2004	2005	152.98556124165	141.047935703367	165.381609414102	14.1809977592524	7.86302857546947	22.4749801384857
"Arrabidaea chica"	5	2005	2006	108.876483424422	107.057896776041	110.836853900908	579.303910592425	533.145886137741	625.791887886191
"Arrabidaea chica"	6	2006	2007	176.055432580701	168.214760286273	183.809222800286	73.2252686361089	58.2234834169851	90.410468467893
"Arrabidaea chica"	7	2008	2008	97.8595242622656	94.5087448101091	101.002766412477	203.362052846767	175.301816964378	232.748729715609
"Arrabidaea chica"	8	2008	2009	125.565257455822	117.75610124677	133.374641944262	83.8063264521318	66.7934367266244	102.942757728132
"Arrabidaea chica"	9	2009	2010	75.5969495590385	67.3200822170067	83.831852742183	29.2711872493013	19.526122805465	41.2797678315375
"Bauhinia guianensis"	1	2001	2002	67.340923170928	59.2698192344499	75.2221407368045	42.0775446023042	30.8987133846073	55.9703456311339
"Bauhinia guianensis"	2	2002	2003	153.88390205186	139.024527186266	169.511621048721	12.0117253560606	6.1378114580103	19.529149306213
"Bauhinia guianensis"	3	2003	2004	167.497732423193	157.382422794481	177.477796489048	29.1851967453083	20.1948922899601	40.1461782930603
"Bauhinia guianensis"	4	2004	2005	121.015369609923	74.226815802115	166.823292121322	1.1322499284804	0.0372933378973721	4.0087435147504
"Bauhinia guianensis"	5	2005	2006	123.995350481057	104.672476906325	143.831577117805	7.18072497032062	2.76442922890778	13.2241046098569
